City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zhaodong,46.0833,125.9833,70.21,86,93,5.01,CN,1723461902
83,teknaf,20.8624,92.3058,79.93,89,100,4.5,BD,1723461903
84,new plymouth,-39.0667,174.0833,45.32,100,41,9.13,NZ,1723461904
85,ribeira grande,38.5167,-28.7,75.78,64,40,10.36,PT,1723461905
86,banes,20.9625,-75.7186,78.24,93,24,2.62,CU,1723461906
87,yanchep,-31.55,115.6833,60.76,76,83,12.48,AU,1723461907
88,hangu,39.2489,117.7892,79.56,81,5,7.96,CN,1723461908
89,bembereke,10.2283,2.6634,81.68,68,99,10.04,BJ,1723461909
90,tura,25.5198,90.2201,80.28,95,100,3.94,IN,1723461911
91,west island,-12.1568,96.8225,80.58,74,85,10.36,CC,1723461912
92,kavieng,-2.5744,150.7967,81.81,81,100,15.52,PG,1723461913
93,jamestown,42.097,-79.2353,58.64,100,40,5.75,US,1723461914
94,st. paul,44.9444,-93.0933,57.88,92,0,0.0,US,1723461627
95,princeville,45.7668,-61.2985,66.31,85,20,4.61,CA,1723461916
96,vorkuta,67.5,64.0,65.35,41,100,13.91,RU,1723461917
97,mangai,-4.05,19.5333,99.84,25,35,4.05,CD,1723461918
98,kattivakkam,13.2167,80.3167,91.11,76,91,14.99,IN,1723461919
99,kourou,5.1552,-52.6478,77.05,85,45,5.7,GF,1723461920
100,camacupa,-12.0167,17.4833,86.72,8,0,8.41,AO,1723461921
101,antofagasta,-23.65,-70.4,52.9,90,85,2.53,CL,1723461776
102,lamar,33.6668,-95.5836,71.51,97,0,6.91,US,1723461923
103,labrador city,52.9463,-66.9114,62.19,75,75,11.01,CA,1723461924
104,tobelo,1.7284,128.0095,81.34,78,99,2.44,ID,1723461925
105,uturoa,-16.7333,-151.4333,77.14,84,68,14.58,PF,1723461927
106,isafjordur,66.0755,-23.124,50.04,71,20,6.91,IS,1723461928
107,alaghsas,17.0187,8.0168,87.69,66,40,8.05,NE,1723461929
108,albany,42.6001,-73.9662,58.26,50,2,3.78,US,1723461771
109,brookings,44.3114,-96.7984,61.05,94,100,8.05,US,1723461880
110,healesville,-37.65,145.5167,51.96,87,41,3.85,AU,1723461932
111,inhambane,-23.865,35.3833,85.98,48,0,4.61,MZ,1723461933
112,kuqa,41.7278,82.9364,90.99,20,37,6.04,CN,1723461934
113,mayskiy,47.6931,40.1025,76.3,32,58,15.82,RU,1723461935
114,caleta de carquin,-11.0925,-77.6267,59.9,84,56,6.85,PE,1723461936
115,sao miguel do araguaia,-13.275,-50.1628,74.62,27,2,5.97,BR,1723461937
116,selfoss,63.9331,-20.9971,56.01,65,73,11.34,IS,1723461938
117,chinde,26.8212,87.7095,82.83,83,100,0.94,NP,1723461939
118,posto fiscal rolim de moura,-13.0833,-62.2667,63.55,55,0,2.68,BR,1723461940
119,puerto ayora,-0.7393,-90.3518,65.55,99,95,4.0,EC,1723461941
120,la passe,45.5549,-0.8967,73.6,82,54,10.6,FR,1723461942
121,talnakh,69.4865,88.3972,74.48,27,26,1.92,RU,1723461943
122,gunjur,13.2019,-16.7339,86.07,74,75,5.75,GM,1723461945
123,gimbi,9.1667,35.8333,68.41,73,87,5.66,ET,1723461946
124,mata-utu,-13.2816,-176.1745,78.84,79,94,25.77,WF,1723461947
125,olonkinbyen,70.9221,-8.7187,39.69,84,100,8.48,SJ,1723461948
126,letlhakane,-21.4167,25.5833,90.99,5,6,3.62,BW,1723461949
127,vanimo,-2.6741,141.3028,79.74,90,36,7.34,PG,1723461950
128,mirny,62.5353,113.9611,66.18,89,93,3.96,RU,1723461951
129,dudinka,69.4058,86.1778,68.95,40,45,14.38,RU,1723461952
130,aroma,15.8167,36.1333,86.97,57,97,14.2,SD,1723461914
131,port mathurin,-19.6833,63.4167,71.83,66,66,23.71,MU,1723461954
132,undurkhaan,47.3194,110.6556,75.88,58,0,6.11,MN,1723461955
133,stanley,54.868,-1.6985,71.53,75,20,10.36,GB,1723461956
134,kapa'a,22.0752,-159.319,79.12,84,75,13.8,US,1723461957
135,itoman,26.1247,127.6694,86.02,74,20,6.91,JP,1723461958
136,liman,48.9884,37.8023,80.56,21,25,19.26,UA,1723461959
137,tralee,52.2704,-9.7026,64.65,68,75,11.5,IE,1723461954
138,utrik,11.2278,169.8474,82.62,82,100,11.9,MH,1723461961
139,karatsu,33.4425,129.9697,80.04,84,58,12.66,JP,1723461962
140,villa de arista,22.65,-100.8333,62.33,93,81,2.37,MX,1723461963
141,cestos city,5.46,-9.5828,79.45,78,100,8.32,LR,1723461964
142,cova figueira,14.8905,-24.2934,69.98,77,70,5.53,CV,1723461965
143,amble,55.3333,-1.5833,62.74,88,20,18.41,GB,1723461967
144,verkhniy baskunchak,48.2256,46.7217,84.76,20,68,19.48,RU,1723461968
145,touros,-5.1989,-35.4608,79.52,68,100,12.66,BR,1723461969
146,alotau,-10.3069,150.4462,74.8,95,82,1.19,PG,1723461970
147,koh kong,11.6175,102.9806,83.91,75,73,5.14,KH,1723461971
148,duartina,-22.4144,-49.4039,52.83,47,100,4.68,BR,1723461972
149,sinabang,2.4803,96.3801,82.0,76,53,1.74,ID,1723461973
150,vila velha,-20.3297,-40.2925,73.35,83,20,5.75,BR,1723461760
151,domna,51.8971,113.1573,84.36,42,20,2.24,RU,1723461975
152,anadyr,64.75,177.4833,55.9,62,0,8.95,RU,1723461977
153,broome,42.2506,-75.833,58.06,97,75,3.44,US,1723461978
154,saipan,15.1355,145.701,86.7,74,0,0.0,MP,1723461753
155,el calafate,-50.3408,-72.2768,35.71,93,98,0.92,AR,1723461980
156,college,64.8569,-147.8028,51.78,86,100,14.97,US,1723461981
157,khandyga,62.6667,135.6,60.24,97,65,4.36,RU,1723461982
158,atafu village,-8.5421,-172.5159,81.23,80,100,15.84,TK,1723461983
159,tazovsky,67.4667,78.7,51.96,97,100,10.31,RU,1723461984
160,dobrota,42.4542,18.7683,97.72,42,0,5.75,ME,1723461985
161,ma'rib,15.4591,45.3253,95.09,27,96,5.59,YE,1723461986
162,pisco,-13.7,-76.2167,59.05,88,100,4.61,PE,1723461987
163,hawaiian paradise park,19.5933,-154.9731,72.91,96,75,0.0,US,1723461988
164,howard springs,-12.497,131.047,73.98,69,31,6.08,AU,1723461989
165,slantsy,59.1182,28.0914,64.06,55,63,6.62,RU,1723461990
166,kaoma,-14.7833,24.8,90.25,8,0,10.18,ZM,1723461993
167,constitucion,-35.3333,-72.4167,48.0,76,94,5.57,CL,1723461943
168,katsuren-haebaru,26.3369,127.8719,87.1,70,0,0.0,JP,1723461995
169,gadzhiyevo,69.2551,33.3362,64.51,62,46,6.22,RU,1723461996
170,thompson,55.7435,-97.8558,51.96,87,0,0.0,CA,1723461998
171,mount gambier,-37.8333,140.7667,55.92,73,92,7.38,AU,1723462000
172,huittinen,61.1833,22.7,59.11,90,99,4.0,FI,1723462001
173,synel'nykove,48.3204,35.5179,80.56,21,1,18.16,UA,1723462002
174,mhamid,29.82,-5.72,103.57,12,3,5.08,MA,1723462003
175,port saint john's,-31.6229,29.5448,66.94,47,65,11.59,ZA,1723462004
176,mogoytuy,51.2833,114.9167,82.0,38,0,5.93,RU,1723462005
177,quellon,-43.1167,-73.6167,45.73,89,100,10.18,CL,1723462006
178,kimbe,-5.5502,150.1429,77.11,91,36,3.56,PG,1723462007
179,dombarovskiy,50.7587,59.5386,82.58,29,100,9.91,RU,1723462008
180,namibe,-15.1961,12.1522,70.93,73,76,9.08,AO,1723462009
